column,enabled,common_name,dtype,display,is_filter_factor,add_before_log_transform,factor_class,true_text,false_text,default_value,tooltip_text
n_mouse_pubs,TRUE,Number of articles about mouse homolog,int,log,TRUE,1,extended,,,,"Filter by the number of primary articles that feature each gene's mouse homolog in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
n_rat_pubs,TRUE,Number of articles about rat homolog,int,log,TRUE,1,extended,,,,"Filter by the number of primary articles that feature each gene's rat homolog in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
n_c_elegans_pubs,TRUE,Number of articles about c. elegans homolog,int,log,TRUE,1,extended,,,,"Filter by the number of primary articles that feature each gene's C. elegans homolog in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
n_d_melanogaster_pubs,TRUE,Number of articles about d. melanogaster homolog,int,log,TRUE,1,extended,,,,"Filter by the number of primary articles that feature each gene's D. melanogaster homolog in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
n_zebrafish_pubs,TRUE,Number of articles about zebrafish homolog,int,log,TRUE,1,extended,,,,"Filter by the number of primary articles that feature each gene's zebrafish homolog in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
n_yeast_pubs,TRUE,Number of articles about yeast homolog,int,log,TRUE,1,extended,,,,"Filter by the number of primary articles that feature each gene's yeast homolog in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
nextprot_evidence,TRUE,Evidence of protein's existence (neXtProt),bool,,TRUE,,extended,Evidence of protein's existence (neXtProt),No evidence of protein's existence (neXtProt),TRUE,Filter by whether NeXtProt found direct evidence of protein-coding for each gene (True/False)
hpa_evidence,TRUE,Evidence of protein's existence (HPA),bool,,TRUE,,default,Evidence of protein's existence (HPA),No evidence of protein's existence (HPA),TRUE,Filter by whether the Human Protein Atlas found direct evidence of protein-coding for each gene (True/False)
uniprot_evidence,TRUE,Evidence of protein's existence (UniProt),bool,,TRUE,,extended,Evidence of protein's existence (UniProt),No evidence of protein's existence (UniProt),TRUE,Filter by whether the UniProt found direct evidence of protein-coding for each gene (True/False)
membrane_protein,TRUE,Membrane protein,bool,,TRUE,,extended,Membrane protein,Not membrane protein,TRUE,Filter by whether the Human Protein Atlas annotated each gene as a membrane protein (True/False)
antibody,TRUE,Antibody available,bool,,TRUE,,extended,Antibody available,No antibody available,TRUE,Filter by whether each gene has antibodies available according to the Human Protein Atlas (True/False)
approved_ih,TRUE,Antibody approved (immunohistochemistry),bool,,TRUE,,extended,Antibody approved (immunohistochemistry),Not antibody approved (immunohistochemistry),TRUE,Filter by whether each gene's available antibodies were approved for immunohistochemistry by the Human Protein Atlas (True/False)
approved_if,TRUE,Antibody approved (immunofluorescence),bool,,TRUE,,extended,Antibody approved (immunofluorescence),Not antibody approved (immunofluorescence),TRUE,Filter by whether each gene's available antibodies were approved for immunofluorescence by the Human Protein Atlas (True/False)
idg_understudied,TRUE,Understudied according to IDG,bool,,TRUE,,extended,Understudied according to IDG,Not understudied according to IDG,TRUE,Filter by whether each gene was annotated as an understudied protein by the Illuminating the Druggable Genome initiative (True/False)
plasmid,TRUE,Plasmid available,bool,,TRUE,,extended,Plasmid available,No plasmid available,TRUE,Filter by whether each gene had a plasmid available in the AddGene catalog.
compound,TRUE,Compound known to affect gene activity,bool,,TRUE,,default,Compound known to affect gene activity,No compound known to affect gene activity,TRUE,Filter by whether there is a compound annotated in ChEMBL that affects the activity of each gene (True/False)
n_biocarta,TRUE,Number of BioCarta annotations,int,log,TRUE,1,extended,,,,Filter by each gene's number of BioCarta annotations
n_reactome,TRUE,Number of Reactome annotations,int,log,TRUE,1,extended,,,,Filter by each gene's number of Reactome annotations
n_hpo,TRUE,Number of Human Phenotype Ontology annotations,int,log,TRUE,1,extended,,,,Filter by each gene's number of Human Phenotype Ontology annotations
n_wikipathways,TRUE,Number of Wikipathways annotations,int,log,TRUE,1,extended,,,,Filter by each gene's number of WikiPathways annotations
n_pid,TRUE,Number of Protein Interaction Database annotations,int,log,TRUE,1,extended,,,,Filter by each gene's number of Protein Interaction Database annotations
n_kegg,TRUE,Number of KEGG annotations,int,log,TRUE,1,extended,,,,Filter by each gene's number of Kyoto Encyclopedia of Genes and Genomes annotations
n_go,TRUE,Number of Gene Ontology annotations,int,log,TRUE,1,extended,,,,Filter by each gene's number of Gene Ontology annotations
protein_coding,TRUE,Protein coding,bool,,TRUE,,extended,Protein coding,Not protein coding,TRUE,Filter by whether each gene is protein coding according to NCBI gene
gene_length,TRUE,Gene Length,int,log,TRUE,0,extended,,,,Filter by each gene's length in the genome. Shows length in base pairs
loss_of_function_intolerant,TRUE,Loss-of-function intolerance,bool,,TRUE,,default,Loss-of-function intolerant,Not loss-of-function intolerant,FALSE,"Filter by whether each gene is tolerant to loss-of-function, as predicted by Karcewski et al., Nature, 2020 (True/False)"
previously_patented,TRUE,Previously patented,bool,,TRUE,,extended,Previously patented,Not previously patented,TRUE,"Filter by whether sequences belong to each gene were previously patented, as compiled by Rosenfeld and Mason, Genome Medicine, 2013 (True/False)"
normalized_gravy,TRUE,GRAVY score,float,linear,TRUE,,extended,,,,Filter by each gene's solubility as determined by Swissprot. Shows normalized GRAVY score
druggable,TRUE,Druggable,bool,,TRUE,,extended,Druggable,Not druggable,TRUE,"Filter by whether each gene is predicted to be druggable, as compiled by Finan et al., 2017, Science Translational Medicine (True/False)"
"Abnormalities, Multiple",TRUE,"Number of articles about gene: Abnormalities, Multiple",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Abnormalities, Multiple' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Abortion, Habitual",TRUE,"Number of articles about gene: Abortion, Habitual",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Abortion, Habitual' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Acute Coronary Syndrome,TRUE,Number of articles about gene: Acute Coronary Syndrome,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Acute Coronary Syndrome' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Acute Disease,TRUE,Number of articles about gene: Acute Disease,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Acute Disease' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Acute Kidney Injury,TRUE,Number of articles about gene: Acute Kidney Injury,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Acute Kidney Injury' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Adenocarcinoma,TRUE,Number of articles about gene: Adenocarcinoma,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Adenocarcinoma' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Adenocarcinoma of Lung,TRUE,Number of articles about gene: Adenocarcinoma of Lung,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Adenocarcinoma of Lung' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Adenocarcinoma, Mucinous",TRUE,"Number of articles about gene: Adenocarcinoma, Mucinous",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Adenocarcinoma, Mucinous' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Adenoma,TRUE,Number of articles about gene: Adenoma,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Adenoma' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Albuminuria,TRUE,Number of articles about gene: Albuminuria,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Albuminuria' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Alcoholism,TRUE,Number of articles about gene: Alcoholism,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Alcoholism' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Alzheimer Disease,TRUE,Number of articles about gene: Alzheimer Disease,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Alzheimer Disease' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Amyotrophic Lateral Sclerosis,TRUE,Number of articles about gene: Amyotrophic Lateral Sclerosis,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Amyotrophic Lateral Sclerosis' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Arthritis, Rheumatoid",TRUE,"Number of articles about gene: Arthritis, Rheumatoid",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Arthritis, Rheumatoid' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Asthma,TRUE,Number of articles about gene: Asthma,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Asthma' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Astrocytoma,TRUE,Number of articles about gene: Astrocytoma,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Astrocytoma' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Atherosclerosis,TRUE,Number of articles about gene: Atherosclerosis,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Atherosclerosis' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Atrial Fibrillation,TRUE,Number of articles about gene: Atrial Fibrillation,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Atrial Fibrillation' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Autoimmune Diseases,TRUE,Number of articles about gene: Autoimmune Diseases,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Autoimmune Diseases' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Bile Duct Neoplasms,TRUE,Number of articles about gene: Bile Duct Neoplasms,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Bile Duct Neoplasms' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Body Weight,TRUE,Number of articles about gene: Body Weight,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Body Weight' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Bone Neoplasms,TRUE,Number of articles about gene: Bone Neoplasms,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Bone Neoplasms' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Brain Ischemia,TRUE,Number of articles about gene: Brain Ischemia,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Brain Ischemia' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Brain Neoplasms,TRUE,Number of articles about gene: Brain Neoplasms,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Brain Neoplasms' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Breast Neoplasms,TRUE,Number of articles about gene: Breast Neoplasms,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Breast Neoplasms' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Calcinosis,TRUE,Number of articles about gene: Calcinosis,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Calcinosis' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Carcinogenesis,TRUE,Number of articles about gene: Carcinogenesis,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinogenesis' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Carcinoma,TRUE,Number of articles about gene: Carcinoma,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Carcinoma, Ductal, Breast",TRUE,"Number of articles about gene: Carcinoma, Ductal, Breast",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma, Ductal, Breast' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Carcinoma, Hepatocellular",TRUE,"Number of articles about gene: Carcinoma, Hepatocellular",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma, Hepatocellular' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Carcinoma, Non-Small-Cell Lung",TRUE,"Number of articles about gene: Carcinoma, Non-Small-Cell Lung",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma, Non-Small-Cell Lung' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Carcinoma, Ovarian Epithelial",TRUE,"Number of articles about gene: Carcinoma, Ovarian Epithelial",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma, Ovarian Epithelial' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Carcinoma, Pancreatic Ductal",TRUE,"Number of articles about gene: Carcinoma, Pancreatic Ductal",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma, Pancreatic Ductal' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Carcinoma, Papillary",TRUE,"Number of articles about gene: Carcinoma, Papillary",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma, Papillary' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Carcinoma, Renal Cell",TRUE,"Number of articles about gene: Carcinoma, Renal Cell",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma, Renal Cell' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Carcinoma, Squamous Cell",TRUE,"Number of articles about gene: Carcinoma, Squamous Cell",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma, Squamous Cell' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Carcinoma, Transitional Cell",TRUE,"Number of articles about gene: Carcinoma, Transitional Cell",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carcinoma, Transitional Cell' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Cardiomyopathy, Dilated",TRUE,"Number of articles about gene: Cardiomyopathy, Dilated",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Cardiomyopathy, Dilated' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Cardiovascular Diseases,TRUE,Number of articles about gene: Cardiovascular Diseases,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Cardiovascular Diseases' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Carotid Artery Diseases,TRUE,Number of articles about gene: Carotid Artery Diseases,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Carotid Artery Diseases' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Cataract,TRUE,Number of articles about gene: Cataract,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Cataract' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Cell Transformation, Neoplastic",TRUE,"Number of articles about gene: Cell Transformation, Neoplastic",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Cell Transformation, Neoplastic' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Cervical Intraepithelial Neoplasia,TRUE,Number of articles about gene: Cervical Intraepithelial Neoplasia,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Cervical Intraepithelial Neoplasia' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Charcot-Marie-Tooth Disease,TRUE,Number of articles about gene: Charcot-Marie-Tooth Disease,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Charcot-Marie-Tooth Disease' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Cholangiocarcinoma,TRUE,Number of articles about gene: Cholangiocarcinoma,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Cholangiocarcinoma' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Chromosome Aberrations,TRUE,Number of articles about gene: Chromosome Aberrations,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Chromosome Aberrations' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Chromosome Deletion,TRUE,Number of articles about gene: Chromosome Deletion,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Chromosome Deletion' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Chronic Disease,TRUE,Number of articles about gene: Chronic Disease,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Chronic Disease' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Cleft Palate,TRUE,Number of articles about gene: Cleft Palate,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Cleft Palate' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Colitis,TRUE,Number of articles about gene: Colitis,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Colitis' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Colitis, Ulcerative",TRUE,"Number of articles about gene: Colitis, Ulcerative",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Colitis, Ulcerative' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Colonic Neoplasms,TRUE,Number of articles about gene: Colonic Neoplasms,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Colonic Neoplasms' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Colorectal Neoplasms,TRUE,Number of articles about gene: Colorectal Neoplasms,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Colorectal Neoplasms' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Coronary Artery Disease,TRUE,Number of articles about gene: Coronary Artery Disease,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Coronary Artery Disease' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Coronary Disease,TRUE,Number of articles about gene: Coronary Disease,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Coronary Disease' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Crohn Disease,TRUE,Number of articles about gene: Crohn Disease,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Crohn Disease' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Cystadenocarcinoma, Serous",TRUE,"Number of articles about gene: Cystadenocarcinoma, Serous",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Cystadenocarcinoma, Serous' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Cystic Fibrosis,TRUE,Number of articles about gene: Cystic Fibrosis,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Cystic Fibrosis' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Deafness,TRUE,Number of articles about gene: Deafness,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Deafness' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Dementia,TRUE,Number of articles about gene: Dementia,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Dementia' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Dermatitis, Atopic",TRUE,"Number of articles about gene: Dermatitis, Atopic",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Dermatitis, Atopic' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Diabetes Mellitus,TRUE,Number of articles about gene: Diabetes Mellitus,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Diabetes Mellitus' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Diabetes Mellitus, Experimental",TRUE,"Number of articles about gene: Diabetes Mellitus, Experimental",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Diabetes Mellitus, Experimental' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Diabetes Mellitus, Type 1",TRUE,"Number of articles about gene: Diabetes Mellitus, Type 1",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Diabetes Mellitus, Type 1' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Diabetes Mellitus, Type 2",TRUE,"Number of articles about gene: Diabetes Mellitus, Type 2",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Diabetes Mellitus, Type 2' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
"Diabetes, Gestational",TRUE,"Number of articles about gene: Diabetes, Gestational",int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Diabetes, Gestational' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Diabetic Nephropathies,TRUE,Number of articles about gene: Diabetic Nephropathies,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Diabetic Nephropathies' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
Diabetic Retinopathy,TRUE,Number of articles about gene: Diabetic Retinopathy,int,log,TRUE,1,extended,,,,"Filter by the number of primary research articles belonging to the MeSH term 'Diabetic Retinopathy' that feature each gene in the title/abstract, compiled from gene2pubmed and Pubtator. Shows number of articles"
